Job ID,Job Title,Department,Job Category,Job Subcategory,Education Requirement,Certification Required,Experience Level,Fellowship Required,Key Skills,Tools Used,Work Setting,Job Description,Growth Outlook,Minimum salary,Maximum salary, 
PSY-018,Psychiatry Pharmacist,Psychiatry,Clinical,Clinical Pharmacist,PharmD,"RPh License, BLS",Mid-Level,No,"Psychopharmacology, Drug interactions, Medication monitoring, Patient counseling","Pharmacy systems, EMR systems, Drug databases","Hospital Pharmacy, Outpatient Clinic",Provides specialized pharmaceutical care for psychiatry patients including psychiatric medication management and drug therapy optimization.,High,135000,165000, 
PSY-019,Psychiatry Financial Counselor,Psychiatry,Administrative,Financial Counselor,Bachelors Degree,Healthcare Financial Management preferred,Mid-Level,No,"Insurance navigation, Financial planning, Patient advocacy, Medical billing knowledge","Billing software, EMR systems, Insurance databases","Hospital Administration, Outpatient Clinic","Assists patients with insurance coverage, payment options, and financial planning for psychiatry treatments and therapy services.",Moderate,55000,78000, 
PSY-020,Psychiatry Data Analyst,Psychiatry,Administrative,Data Analyst,Bachelors Degree,Healthcare Analytics Certification preferred,Mid-Level,No,"Data analysis, Statistical reporting, Quality metrics, Database management","Statistical software, EMR systems, Data visualization tools","Hospital Administration, Quality Department",Analyzes psychiatry department data to support quality improvement initiatives and operational decision-making.,High,75000,98000, 
PSY-021,Psychiatry Quality Coordinator,Psychiatry,Administrative,Quality Coordinator,Bachelors Degree,Quality Management Certification preferred,Mid-Level,No,"Quality improvement, Process analysis, Compliance monitoring, Data collection","Quality management software, EMR systems, Audit tools",Hospital Quality Department,Coordinates quality improvement initiatives and ensures compliance with regulatory standards in psychiatry department.,Moderate,65000,88000, 
PSY-022,Psychiatry Nurse Manager,Psychiatry,Administrative,Nurse Manager,MSN,"RN License, Management Certification, ACLS, BLS",Senior,No,"Staff supervision, Budget management, Quality assurance, Policy development","Management software, EMR systems, Scheduling systems","Psychiatric Units, Hospital Administration",Manages nursing staff and operations in psychiatry department ensuring quality patient care and efficient workflow.,Moderate,105000,150000, 
PSY-023,Psychiatry Clinical Educator,Psychiatry,Clinical,Clinical Educator,MSN,"RN License, CNE preferred, ACLS, BLS",Senior,No,"Teaching, Curriculum development, Staff training, Clinical expertise","Educational software, EMR systems, Simulation equipment","Hospital Education Department, Clinical Units",Develops and delivers educational programs for psychiatry staff and provides clinical teaching and competency assessment.,High,95000,130000, 
PSY-024,Psychiatry Patient Navigator,Psychiatry,Support,Patient Navigator,Bachelors Degree,"Patient Navigation Certification preferred, BLS",Mid-Level,No,"Patient advocacy, Care coordination, Resource navigation, Communication","EMR systems, Resource databases, Communication tools","Hospital Units, Outpatient Clinic, Community Mental Health",Guides patients through psychiatry treatment processes and helps coordinate care across multiple providers and services.,High,60000,80000, 
PSY-025,Psychiatry Unit Clerk,Psychiatry,Administrative,Unit Clerk,High School Diploma,Medical Office Administration preferred,Junior,No,"Data entry, Communication, Medical terminology, Filing","EMR systems, Communication devices, Office equipment","Psychiatric Units, Nursing Stations","Provides administrative support to psychiatry units including documentation, communication, and clerical tasks.",Low,36000,48000, 
PSY-026,Psychiatry Clinical Specialist,Psychiatry,Clinical,Clinical Specialist,BSN,"RN License, Psychiatry Certification, ACLS, BLS",Senior,No,"Advanced clinical assessment, Patient education, Protocol development, Staff mentoring","EMR systems, Assessment tools, Educational materials","Psychiatric Units, Outpatient Clinic",Provides advanced clinical expertise in psychiatric nursing and serves as a resource for staff and patients.,High,95000,128000, 
PSY-027,Neuropsychologist,Psychiatry,Diagnostic,Psychologist,PhD/PsyD,"Licensed Psychologist, Neuropsychology Certification",Senior,Yes,"Neuropsychological testing, Cognitive assessment, Brain-behavior relationships, Report writing","Neuropsychological test batteries, Computer-based assessments, EMR systems","Hospital, Outpatient Clinic, Rehabilitation Centers",Evaluates cognitive function and brain-behavior relationships through specialized testing to diagnose neurological and psychiatric conditions.,High,95000,140000, 
PSY-028,Art Therapist,Psychiatry,Clinical,Therapist,Masters Degree,"ATR-BC, BLS",Mid-Level,No,"Art therapy techniques, Creative expression, Therapeutic relationship, Assessment through art","Art supplies, Therapy materials, EMR systems, Assessment tools","Psychiatric Units, Outpatient Clinic, Day Programs",Uses creative arts and expression as therapeutic tools to help patients explore emotions and improve mental health.,High,48000,68000, 
PSY-029,Music Therapist,Psychiatry,Clinical,Therapist,Bachelors Degree,"MT-BC, BLS",Mid-Level,No,"Music therapy techniques, Instrument proficiency, Therapeutic relationship, Treatment planning","Musical instruments, Audio equipment, EMR systems, Therapy materials","Psychiatric Units, Outpatient Clinic, Rehabilitation Centers","Uses music and musical activities as therapeutic interventions to address physical, emotional, cognitive, and social needs.",High,45000,65000, 
PSY-030,Psychiatry Medical Assistant,Psychiatry,Support,Medical Assistant,Certificate/Associate Degree,"CMA or RMA, BLS",Junior,No,"Patient intake, Vital signs, Appointment scheduling, Basic administrative tasks","EMR systems, Basic medical equipment, Office supplies","Outpatient Clinic, Hospital Units","Assists psychiatry healthcare providers with patient care, administrative tasks, and clinical support functions.",High,42000,58000, 
ENDO-001,Endocrinologist,Endocrinology,Clinical,Physician Specialist,MD,Board Certification in Endocrinology,Senior,Yes,"Hormone disorders diagnosis, Diabetes management, Thyroid disorders, Metabolic diseases","Blood glucose meters, Thyroid ultrasound, EMR systems, Laboratory systems","Hospital, Outpatient Clinic, Diabetes Center","Diagnoses and treats disorders of the endocrine system including diabetes, thyroid diseases, and hormonal imbalances.",High,280000,420000, 
ENDO-002,Pediatric Endocrinologist,Endocrinology,Clinical,Physician Specialist,MD,Board Certification in Pediatric Endocrinology,Senior,Yes,"Pediatric diabetes, Growth disorders, Puberty disorders, Child communication","Pediatric glucose monitors, Growth charts, EMR systems, Hormone testing kits","Children Hospital, Pediatric Clinic","Specializes in diagnosing and treating endocrine disorders in children including diabetes, growth problems, and puberty issues.",High,260000,400000, 
ENDO-003,Reproductive Endocrinologist,Endocrinology,Clinical,Physician Specialist,MD,Board Certification in Reproductive Endocrinology,Senior,Yes,"Fertility treatments, Hormone therapy, IVF procedures, Reproductive health","Ultrasound equipment, Hormone assays, IVF equipment, EMR systems","Fertility Clinic, Hospital",Treats reproductive hormone disorders and fertility issues using advanced reproductive technologies and hormone therapies.,High,300000,450000, 
ENDO-004,Diabetes Specialist,Endocrinology,Clinical,Physician Specialist,MD,Board Certification in Endocrinology or Internal Medicine,Senior,No,"Diabetes management, Insulin therapy, Continuous glucose monitoring, Patient education","Glucose meters, Insulin pumps, CGM devices, EMR systems","Diabetes Center, Outpatient Clinic, Hospital",Focuses specifically on comprehensive diabetes care including advanced insulin management and glucose monitoring technologies.,High,250000,380000, 
ENDO-005,Endocrinology Nurse Practitioner,Endocrinology,Clinical,Advanced Practice Nurse,MSN,"NP License, Endocrinology Certification preferred",Mid-Level,No,"Hormone assessment, Diabetes education, Medication management, Patient counseling","Glucose meters, EMR systems, Hormone testing equipment","Outpatient Clinic, Diabetes Center, Hospital Units","Provides comprehensive endocrine care including diabetes management, hormone therapy monitoring, and patient education.",High,105000,150000, 
ENDO-006,Endocrinology Physician Assistant,Endocrinology,Clinical,Physician Assistant,Masters in PA Studies,"PA-C, Endocrinology Certification preferred",Mid-Level,No,"Clinical assessment, Diabetes management, Hormone therapy, Patient education","Glucose monitoring devices, EMR systems, Laboratory equipment","Outpatient Clinic, Hospital, Diabetes Center","Assists endocrinologists in patient care, manages diabetes patients, and provides hormone therapy monitoring.",High,110000,155000, 
ENDO-007,Certified Diabetes Educator,Endocrinology,Clinical,Diabetes Educator,BSN or Masters Degree,"CDE/CDCES, RN License, BLS",Mid-Level,No,"Diabetes education, Insulin training, Blood glucose monitoring, Lifestyle counseling","Glucose meters, Insulin pens, Educational materials, EMR systems","Diabetes Center, Outpatient Clinic, Hospital","Provides specialized diabetes education and training to patients on glucose management, insulin administration, and lifestyle modifications.",High,65000,85000, 
ENDO-008,Endocrinology Registered Nurse,Endocrinology,Clinical,Registered Nurse,BSN,"RN License, ACLS, BLS",Mid-Level,No,"Patient care, Hormone therapy monitoring, Medication administration, Patient education","IV equipment, Glucose monitors, EMR systems, Monitoring devices","Hospital Units, Outpatient Clinic, Endocrine Center","Provides direct nursing care to endocrinology patients including hormone therapy monitoring, diabetes management, and patient education.",High,75000,100000, 
ENDO-009,Endocrinology Medical Assistant,Endocrinology,Support,Medical Assistant,Certificate/Associate Degree,"CMA or RMA, BLS",Junior,No,"Patient intake, Vital signs, Specimen collection, Appointment scheduling","EMR systems, Basic medical equipment, Glucose meters, Laboratory supplies","Outpatient Clinic, Hospital Units","Assists endocrinology healthcare providers with patient care, administrative tasks, and clinical procedures.",High,40000,56000, 
ENDO-010,Endocrinology Resident,Endocrinology,Clinical,Resident Physician,MD,"Medical License, ACLS, BLS",Junior,No,"Basic endocrine evaluation, Diabetes management, Hormone therapy, Medical documentation","Basic endocrine instruments, EMR systems, Diagnostic equipment","Teaching Hospital, Residency Program",Medical resident training in endocrinology under supervision while providing patient care and learning advanced procedures.,High,60000,70000, 
ENDO-011,Endocrinology Fellow,Endocrinology,Clinical,Fellow Physician,MD,"Board Certification in Internal Medicine, Medical License",Mid-Level,Yes,"Advanced endocrine procedures, Research, Complex case management, Teaching","Advanced endocrine instruments, Research equipment, EMR systems","Teaching Hospital, Fellowship Program",Advanced endocrinology trainee specializing in hormone disorders while providing patient care and conducting research.,High,75000,90000, 
ENDO-012,Endocrinology Department Manager,Endocrinology,Administrative,Department Manager,Bachelors Degree,Healthcare Management Certification preferred,Senior,No,"Staff management, Budget oversight, Quality improvement, Compliance","Management software, EMR systems, Financial tracking tools","Hospital Administration, Outpatient Clinic","Manages day-to-day operations of endocrinology department including staff supervision, budget management, and quality assurance.",Moderate,90000,130000, 
ENDO-013,Endocrinology Scheduler,Endocrinology,Administrative,Scheduling Coordinator,High School Diploma,Medical Office Administration preferred,Junior,No,"Appointment scheduling, Insurance verification, Customer service, Medical terminology","Scheduling software, EMR systems, Phone systems","Outpatient Clinic, Hospital Administration","Manages patient appointments, coordinates treatment schedules, and handles insurance verification for endocrinology services.",Moderate,38000,52000, 
ENDO-014,Endocrinology Social Worker,Endocrinology,Support,Social Worker,MSW,"LCSW, BLS",Mid-Level,No,"Patient counseling, Resource coordination, Crisis intervention, Discharge planning","Assessment tools, EMR systems, Community resource databases","Hospital Units, Outpatient Clinic, Diabetes Center",Provides psychosocial support to endocrinology patients and families and assists with discharge planning and resource coordination.,High,60000,82000, 
ENDO-015,Endocrinology Research Coordinator,Endocrinology,Clinical,Research Coordinator,Bachelors Degree,"CCRP preferred, BLS",Mid-Level,No,"Research protocols, Data collection, Patient recruitment, Regulatory compliance","Research databases, EMR systems, Statistical software","Research Center, Hospital",Coordinates clinical research studies in endocrinology and ensures compliance with research protocols and regulatory requirements.,High,68000,92000, 
ENDO-016,Endocrinology Pharmacist,Endocrinology,Clinical,Clinical Pharmacist,PharmD,"RPh License, BLS",Mid-Level,No,"Endocrine pharmacology, Drug interactions, Hormone therapy, Patient counseling","Pharmacy systems, EMR systems, Drug databases","Hospital Pharmacy, Outpatient Clinic",Provides specialized pharmaceutical care for endocrinology patients including hormone medication management and drug therapy optimization.,High,130000,165000, 
ENDO-017,Endocrine Dietitian,Endocrinology,Clinical,Nutritionist,Bachelors Degree,"RD/RDN, BLS",Mid-Level,No,"Diabetic nutrition, Weight management, Metabolic disorders, Patient education","Nutrition software, EMR systems, Educational materials","Hospital, Outpatient Clinic, Diabetes Center","Provides specialized nutritional counseling and diet planning for patients with diabetes, obesity, and other endocrine disorders.",High,58000,78000, 
ENDO-018,Endocrinology Financial Counselor,Endocrinology,Administrative,Financial Counselor,Bachelors Degree,Healthcare Financial Management preferred,Mid-Level,No,"Insurance navigation, Financial planning, Patient advocacy, Medical billing knowledge","Billing software, EMR systems, Insurance databases","Hospital Administration, Outpatient Clinic","Assists patients with insurance coverage, payment options, and financial planning for endocrinology treatments and diabetes management.",Moderate,52000,75000, 
ENDO-019,Endocrinology Data Analyst,Endocrinology,Administrative,Data Analyst,Bachelors Degree,Healthcare Analytics Certification preferred,Mid-Level,No,"Data analysis, Statistical reporting, Quality metrics, Database management","Statistical software, EMR systems, Data visualization tools","Hospital Administration, Quality Department",Analyzes endocrinology department data to support quality improvement initiatives and operational decision-making.,High,72000,95000, 
ENDO-020,Endocrinology Quality Coordinator,Endocrinology,Administrative,Quality Coordinator,Bachelors Degree,Quality Management Certification preferred,Mid-Level,No,"Quality improvement, Process analysis, Compliance monitoring, Data collection","Quality management software, EMR systems, Audit tools",Hospital Quality Department,Coordinates quality improvement initiatives and ensures compliance with regulatory standards in endocrinology department.,Moderate,62000,85000, 
ENDO-021,Endocrinology Nurse Manager,Endocrinology,Administrative,Nurse Manager,MSN,"RN License, Management Certification, ACLS, BLS",Senior,No,"Staff supervision, Budget management, Quality assurance, Policy development","Management software, EMR systems, Scheduling systems","Hospital Units, Diabetes Center",Manages nursing staff and operations in endocrinology department ensuring quality patient care and efficient workflow.,Moderate,100000,145000, 
ENDO-022,Endocrinology Clinical Educator,Endocrinology,Clinical,Clinical Educator,MSN,"RN License, CNE preferred, ACLS, BLS",Senior,No,"Teaching, Curriculum development, Staff training, Clinical expertise","Educational software, EMR systems, Simulation equipment","Hospital Education Department, Clinical Units",Develops and delivers educational programs for endocrinology staff and provides clinical teaching and competency assessment.,High,92000,125000, 
ENDO-023,Endocrinology Patient Navigator,Endocrinology,Support,Patient Navigator,Bachelors Degree,"Patient Navigation Certification preferred, BLS",Mid-Level,No,"Patient advocacy, Care coordination, Resource navigation, Communication","EMR systems, Resource databases, Communication tools","Hospital Units, Outpatient Clinic, Diabetes Center",Guides patients through endocrinology treatment processes and helps coordinate care across multiple providers and services.,High,58000,78000, 
ENDO-024,Endocrinology Equipment Technician,Endocrinology,Support,Equipment Technician,Associate Degree,"Biomedical Equipment Technician Certification, BLS",Mid-Level,No,"Equipment maintenance, Troubleshooting, Calibration, Safety protocols","Glucose monitors, Insulin pumps, Maintenance tools, Testing instruments","Hospital, Medical Equipment Department, Diabetes Center","Maintains and repairs specialized endocrinology equipment including glucose monitors, insulin pumps, and hormone testing devices.",Moderate,55000,75000, 
ENDO-025,Endocrinology Unit Clerk,Endocrinology,Administrative,Unit Clerk,High School Diploma,Medical Office Administration preferred,Junior,No,"Data entry, Communication, Medical terminology, Filing","EMR systems, Communication devices, Office equipment","Hospital Units, Nursing Stations","Provides administrative support to endocrinology units including documentation, communication, and clerical tasks.",Low,36000,48000, 
ENDO-026,Endocrinology Clinical Specialist,Endocrinology,Clinical,Clinical Specialist,BSN,"RN License, Endocrinology Certification, ACLS, BLS",Senior,No,"Advanced clinical assessment, Patient education, Protocol development, Staff mentoring","EMR systems, Diagnostic equipment, Educational materials","Hospital Units, Outpatient Clinic",Provides advanced clinical expertise in endocrinology nursing and serves as a resource for staff and patients.,High,90000,122000, 
ENDO-027,Endocrinology Pathologist,Endocrinology,Diagnostic,Physician Specialist,MD,Board Certification in Pathology,Senior,Yes,"Endocrine pathology, Tissue examination, Thyroid biopsy interpretation, Report writing","Microscopes, Laboratory equipment, Pathology information systems","Pathology Lab, Hospital",Examines endocrine tissue specimens and biopsies to diagnose hormone-related diseases and guide treatment decisions.,Moderate,290000,420000, 
ENDO-028,Endocrinology Radiologist,Endocrinology,Diagnostic,Physician Specialist,MD,Board Certification in Radiology,Senior,Yes,"Endocrine imaging, Thyroid ultrasound, CT/MRI interpretation, Image-guided biopsies","Ultrasound machines, CT scanners, MRI machines, PACS systems","Radiology Department, Hospital",Interprets medical images for endocrine disorders and performs image-guided endocrinology procedures and interventions.,High,310000,460000, 
ENDO-029,Thyroid Specialist,Endocrinology,Clinical,Physician Specialist,MD,Board Certification in Endocrinology,Senior,No,"Thyroid disorders, Thyroid nodules, Thyroid cancer, Radioiodine therapy","Thyroid ultrasound, Fine needle aspiration, Radioiodine therapy equipment","Thyroid Center, Outpatient Clinic, Hospital","Specializes in comprehensive thyroid care including nodule evaluation, cancer treatment, and radioiodine therapy.",High,270000,410000, 
ENDO-030,Bone Metabolism Specialist,Endocrinology,Clinical,Physician Specialist,MD,Board Certification in Endocrinology,Senior,No,"Osteoporosis, Bone metabolism, Calcium disorders, Parathyroid diseases","DEXA scanners, Bone density equipment, EMR systems, Laboratory systems","Bone Health Center, Outpatient Clinic, Hospital","Focuses on bone and mineral metabolism disorders including osteoporosis, parathyroid diseases, and calcium imbalances.",High,265000,400000, 
RHEUM-001,Rheumatologist,Rheumatology,Clinical,Physician Specialist,MD,Board Certification in Rheumatology,Senior,Yes,"Autoimmune disease diagnosis, Joint injection, Arthritis management, Immunosuppressive therapy","Ultrasound, Joint injection equipment, EMR systems, Laboratory systems","Hospital, Outpatient Clinic, Infusion Center","Diagnoses and treats autoimmune and inflammatory conditions affecting joints, muscles, bones, and connective tissues.",High,290000,450000, 
RHEUM-002,Pediatric Rheumatologist,Rheumatology,Clinical,Physician Specialist,MD,Board Certification in Pediatric Rheumatology,Senior,Yes,"Pediatric autoimmune diseases, Juvenile arthritis, Growth assessment, Child communication","Pediatric examination tools, Ultrasound, EMR systems, Growth charts","Children Hospital, Pediatric Clinic",Specializes in diagnosing and treating rheumatic diseases in children including juvenile arthritis and autoimmune conditions.,High,270000,420000, 
RHEUM-003,Rheumatology Nurse Practitioner,Rheumatology,Clinical,Advanced Practice Nurse,MSN,"NP License, Rheumatology Certification preferred",Mid-Level,No,"Inflammatory disease assessment, Medication management, Patient education, Joint examination","EMR systems, Joint assessment tools, Infusion equipment","Outpatient Clinic, Infusion Center, Hospital Units","Provides comprehensive rheumatology care including assessment, treatment planning, and management of inflammatory conditions.",High,100000,145000, 
RHEUM-004,Rheumatology Physician Assistant,Rheumatology,Clinical,Physician Assistant,Masters in PA Studies,"PA-C, Rheumatology Certification preferred",Mid-Level,No,"Clinical assessment, Joint injection assistance, Patient counseling, Immunotherapy monitoring","Injection equipment, EMR systems, Ultrasound, Laboratory systems","Outpatient Clinic, Hospital, Infusion Center","Assists rheumatologists in patient care, performs joint injections, and manages biologic therapy protocols.",High,105000,150000, 
RHEUM-005,Rheumatology Registered Nurse,Rheumatology,Clinical,Registered Nurse,BSN,"RN License, ACLS, BLS, Rheumatology Certification preferred",Mid-Level,No,"Infusion therapy, Patient education, Medication administration, Adverse reaction monitoring","Infusion pumps, IV equipment, EMR systems, Monitoring devices","Infusion Center, Hospital Units, Outpatient Clinic","Provides direct nursing care to rheumatology patients including biologic infusions, medication administration, and patient education.",High,75000,105000, 
RHEUM-006,Rheumatology Medical Assistant,Rheumatology,Support,Medical Assistant,Certificate/Associate Degree,"CMA or RMA, BLS",Junior,No,"Patient intake, Vital signs, Joint examination assistance, Appointment scheduling","EMR systems, Basic medical equipment, Joint measurement tools","Outpatient Clinic, Hospital Units","Assists rheumatology healthcare providers with patient care, administrative tasks, and clinical procedures.",High,40000,58000, 
RHEUM-007,Rheumatology Resident,Rheumatology,Clinical,Resident Physician,MD,"Medical License, ACLS, BLS",Junior,No,"Basic rheumatologic evaluation, Joint examination, Medication management, Medical documentation","Basic examination tools, EMR systems, Diagnostic equipment","Teaching Hospital, Residency Program",Medical resident training in rheumatology under supervision while providing patient care and learning advanced procedures.,High,60000,70000, 
RHEUM-008,Rheumatology Fellow,Rheumatology,Clinical,Fellow Physician,MD,"Board Certification in Internal Medicine, Medical License",Mid-Level,Yes,"Advanced rheumatologic procedures, Research, Complex case management, Teaching","Advanced examination instruments, Research equipment, EMR systems","Teaching Hospital, Fellowship Program",Advanced rheumatology trainee specializing in autoimmune diseases while providing patient care and conducting research.,High,75000,90000, 
RHEUM-009,Rheumatology Department Manager,Rheumatology,Administrative,Department Manager,Bachelors Degree,Healthcare Management Certification preferred,Senior,No,"Staff management, Budget oversight, Quality improvement, Compliance","Management software, EMR systems, Financial tracking tools","Hospital Administration, Outpatient Clinic","Manages day-to-day operations of rheumatology department including staff supervision, budget management, and quality assurance.",Moderate,88000,128000, 
RHEUM-010,Rheumatology Scheduler,Rheumatology,Administrative,Scheduling Coordinator,High School Diploma,Medical Office Administration preferred,Junior,No,"Appointment scheduling, Insurance verification, Customer service, Medical terminology","Scheduling software, EMR systems, Phone systems","Outpatient Clinic, Hospital Administration","Manages patient appointments, coordinates infusion schedules, and handles insurance verification for rheumatology services.",Moderate,38000,54000, 
RHEUM-011,Rheumatology Social Worker,Rheumatology,Support,Social Worker,MSW,"LCSW, BLS",Mid-Level,No,"Patient counseling, Resource coordination, Crisis intervention, Discharge planning","Assessment tools, EMR systems, Community resource databases","Hospital Units, Outpatient Clinic, Infusion Center",Provides psychosocial support to rheumatology patients and families and assists with discharge planning and resource coordination.,High,60000,85000, 
RHEUM-012,Rheumatology Research Coordinator,Rheumatology,Clinical,Research Coordinator,Bachelors Degree,"CCRP preferred, BLS",Mid-Level,No,"Research protocols, Data collection, Patient recruitment, Regulatory compliance","Research databases, EMR systems, Statistical software","Research Center, Hospital",Coordinates clinical research studies in rheumatology and ensures compliance with research protocols and regulatory requirements.,High,68000,92000, 
RHEUM-013,Rheumatology Pharmacist,Rheumatology,Clinical,Clinical Pharmacist,PharmD,"RPh License, BLS",Mid-Level,No,"Immunosuppressive medications, Drug interactions, Biologic therapy, Patient counseling","Pharmacy systems, EMR systems, Drug databases","Hospital Pharmacy, Outpatient Clinic",Provides specialized pharmaceutical care for rheumatology patients including immunosuppressive medication management and biologic therapy optimization.,High,130000,165000, 
RHEUM-014,Rheumatology Financial Counselor,Rheumatology,Administrative,Financial Counselor,Bachelors Degree,Healthcare Financial Management preferred,Mid-Level,No,"Insurance navigation, Financial planning, Patient advocacy, Medical billing knowledge","Billing software, EMR systems, Insurance databases","Hospital Administration, Outpatient Clinic","Assists patients with insurance coverage, payment options, and financial planning for rheumatology treatments and biologic therapies.",Moderate,52000,75000, 
RHEUM-015,Rheumatology Data Analyst,Rheumatology,Administrative,Data Analyst,Bachelors Degree,Healthcare Analytics Certification preferred,Mid-Level,No,"Data analysis, Statistical reporting, Quality metrics, Database management","Statistical software, EMR systems, Data visualization tools","Hospital Administration, Quality Department",Analyzes rheumatology department data to support quality improvement initiatives and operational decision-making.,High,72000,95000, 
RHEUM-016,Rheumatology Quality Coordinator,Rheumatology,Administrative,Quality Coordinator,Bachelors Degree,Quality Management Certification preferred,Mid-Level,No,"Quality improvement, Process analysis, Compliance monitoring, Data collection","Quality management software, EMR systems, Audit tools",Hospital Quality Department,Coordinates quality improvement initiatives and ensures compliance with regulatory standards in rheumatology department.,Moderate,62000,85000, 
RHEUM-017,Rheumatology Nurse Manager,Rheumatology,Administrative,Nurse Manager,MSN,"RN License, Management Certification, ACLS, BLS",Senior,No,"Staff supervision, Budget management, Quality assurance, Policy development","Management software, EMR systems, Scheduling systems","Hospital Units, Infusion Center",Manages nursing staff and operations in rheumatology department ensuring quality patient care and efficient workflow.,Moderate,100000,145000, 
RHEUM-018,Rheumatology Clinical Educator,Rheumatology,Clinical,Clinical Educator,MSN,"RN License, CNE preferred, ACLS, BLS",Senior,No,"Teaching, Curriculum development, Staff training, Clinical expertise","Educational software, EMR systems, Simulation equipment","Hospital Education Department, Clinical Units",Develops and delivers educational programs for rheumatology staff and provides clinical teaching and competency assessment.,High,92000,125000, 
RHEUM-019,Rheumatology Patient Navigator,Rheumatology,Support,Patient Navigator,Bachelors Degree,"Patient Navigation Certification preferred, BLS",Mid-Level,No,"Patient advocacy, Care coordination, Resource navigation, Communication","EMR systems, Resource databases, Communication tools","Hospital Units, Outpatient Clinic, Infusion Center",Guides patients through rheumatology treatment processes and helps coordinate care across multiple providers and services.,High,58000,78000, 
RHEUM-020,Rheumatology Equipment Technician,Rheumatology,Support,Equipment Technician,Associate Degree,"Biomedical Equipment Technician Certification, BLS",Mid-Level,No,"Equipment maintenance, Troubleshooting, Calibration, Safety protocols","Ultrasound machines, Infusion pumps, Maintenance tools, Testing instruments","Hospital, Medical Equipment Department, Infusion Center","Maintains and repairs specialized rheumatology equipment including ultrasound machines, infusion pumps, and joint injection devices.",Moderate,55000,75000, 
RHEUM-021,Rheumatology Unit Clerk,Rheumatology,Administrative,Unit Clerk,High School Diploma,Medical Office Administration preferred,Junior,No,"Data entry, Communication, Medical terminology, Filing","EMR systems, Communication devices, Office equipment","Hospital Units, Nursing Stations","Provides administrative support to rheumatology units including documentation, communication, and clerical tasks.",Low,36000,48000, 
RHEUM-022,Rheumatology Clinical Specialist,Rheumatology,Clinical,Clinical Specialist,BSN,"RN License, Rheumatology Certification, ACLS, BLS",Senior,No,"Advanced clinical assessment, Patient education, Protocol development, Staff mentoring","EMR systems, Diagnostic equipment, Educational materials","Hospital Units, Outpatient Clinic",Provides advanced clinical expertise in rheumatology nursing and serves as a resource for staff and patients.,High,90000,122000, 
RHEUM-023,Rheumatology Pathologist,Rheumatology,Diagnostic,Physician Specialist,MD,Board Certification in Pathology,Senior,Yes,"Rheumatologic pathology, Tissue examination, Synovial biopsy interpretation, Report writing","Microscopes, Laboratory equipment, Pathology information systems","Pathology Lab, Hospital",Examines tissue specimens from rheumatology procedures to diagnose autoimmune and inflammatory diseases.,Moderate,290000,420000, 
RHEUM-024,Rheumatology Radiologist,Rheumatology,Diagnostic,Physician Specialist,MD,Board Certification in Radiology,Senior,Yes,"Musculoskeletal imaging, Joint imaging, CT/MRI interpretation, Image-guided procedures","MRI machines, CT scanners, Ultrasound, PACS systems","Radiology Department, Hospital",Interprets medical images for rheumatologic conditions and performs image-guided joint procedures and interventions.,High,310000,460000, 
RHEUM-025,Infusion Nurse Specialist,Rheumatology,Clinical,Infusion Specialist,BSN,"RN License, Infusion Certification, ACLS, BLS",Senior,No,"Biologic infusion protocols, Adverse reaction management, Patient monitoring, Infusion safety","Infusion pumps, IV access devices, Emergency medications, Monitoring equipment","Infusion Center, Hospital Units",Specializes in administering biologic and immunosuppressive infusions to rheumatology patients and managing infusion-related complications.,High,80000,110000, 
RHEUM-026,Rheumatology Ultrasound Technologist,Rheumatology,Diagnostic,Ultrasound Technologist,Associate Degree,"ARDMS, Musculoskeletal Ultrasound Certification",Mid-Level,No,"Musculoskeletal ultrasound, Joint imaging, Doppler studies, Image optimization","Ultrasound machines, High-frequency probes, PACS systems, Image archiving","Outpatient Clinic, Imaging Department","Performs specialized ultrasound examinations of joints, tendons, and soft tissues to assist in rheumatologic diagnosis.",High,65000,85000, 
RHEUM-027,Rheumatology Laboratory Technologist,Rheumatology,Diagnostic,Laboratory Technologist,Bachelors Degree,"MLT/MLS, Laboratory Certification",Mid-Level,No,"Autoimmune testing, Inflammatory markers, Immunology assays, Quality control","Laboratory analyzers, Microscopes, Immunoassay equipment, LIMS","Clinical Laboratory, Hospital",Performs specialized laboratory tests for autoimmune and inflammatory markers essential for rheumatologic diagnosis and monitoring.,Moderate,55000,75000, 
RHEUM-028,Rheumatology Practice Coordinator,Rheumatology,Administrative,Practice Coordinator,Bachelors Degree,Medical Practice Management preferred,Senior,No,"Practice operations, Insurance authorization, Clinical coordination, Staff oversight","Practice management software, EMR systems, Authorization systems","Private Practice, Medical Group","Coordinates all aspects of rheumatology practice operations including insurance authorizations, clinical workflows, and administrative oversight.",Moderate,65000,90000, 
RHEUM-029,Rheumatology Clinical Research Nurse,Rheumatology,Clinical,Research Nurse,BSN,"RN License, Clinical Research Certification, BLS",Senior,No,"Clinical trial protocols, Research documentation, Patient recruitment, Regulatory compliance","Research databases, EMR systems, Clinical trial management systems","Research Center, Academic Medical Center","Manages clinical research studies in rheumatology including patient recruitment, protocol adherence, and research data collection.",High,75000,100000, 
